REC_NO,XRAY_RA,XRAY_DEC,LABEL,u_mag_auto,err_u_mag_auto,g_mag_auto,err_g_mag_auto,r_mag_auto,err_r_mag_auto,i_mag_auto,err_i_mag_auto,z_mag_auto,err_z_mag_auto,Separation
877,45.954777143547,-0.938674397568501,0,25.7151,1.2789,24.2318,0.1731,23.8064,0.1458,23.681,0.2038,22.8849,0.3094,8.446729405584467
881,45.98948948793263,-1.1520506567890691,1,19.0574,0.0175,18.8045,0.0068,18.5478,0.0062,18.2948,0.0065,18.2356,0.0154,0.12536887355643245
881,45.98948948793263,-1.1520506567890691,0,99.0,99.0,24.3184,0.1759,24.2981,0.2088,23.7749,0.2103,22.646,0.2369,9.923700267933482
881,45.98948948793263,-1.1520506567890691,0,25.4428,1.5942,24.1142,0.2357,23.5369,0.1749,23.2555,0.2196,22.6838,0.4011,7.452056562761943
895,46.117352489142256,-1.0159561032807993,1,23.6362,0.2996,22.1642,0.0451,20.8968,0.0215,20.4053,0.0207,20.0804,0.0438,2.2617601494525736
895,46.117352489142256,-1.0159561032807993,0,24.5879,0.7438,22.5281,0.0635,20.8336,0.0215,20.1806,0.0187,19.7568,0.0369,8.820533818160252
900,46.14169417029415,-0.9011556519032508,1,19.3467,0.0217,18.8589,0.0074,18.345,0.0059,17.83,0.0055,17.5159,0.0112,0.9372359081743601
900,46.14169417029415,-0.9011556519032508,0,23.3826,0.3869,22.8902,0.1217,21.7703,0.0582,20.9146,0.0441,20.6645,0.1055,9.898239608138443
900,46.14169417029415,-0.9011556519032508,0,23.1377,0.2679,23.066,0.121,22.0224,0.0621,21.3146,0.0534,21.1454,0.1368,6.3070378425504225
902,46.15153570578935,-1.0679660197015386,0,25.3258,0.7151,25.8947,0.5684,24.544,0.2175,24.5231,0.3339,99.0,99.0,8.828027341268813
902,46.15153570578935,-1.0679660197015386,1,23.9209,0.345,22.8813,0.0725,22.0297,0.044,21.6932,0.049,20.9863,0.081,1.859213286106967
902,46.15153570578935,-1.0679660197015386,0,25.1071,1.3305,23.6373,0.1776,22.6823,0.0951,22.3053,0.1072,22.0627,0.2681,4.809508715253312
902,46.15153570578935,-1.0679660197015386,0,24.5233,0.553,24.0923,0.1839,23.2072,0.1054,22.9196,0.1285,23.1162,0.467,7.9047728564682105
908,46.206734650499776,-0.13766758790789446,1,19.2432,0.0199,17.854,0.004,17.6333,0.0038,17.5625,0.0042,17.4961,0.0104,4.132133329609461
908,46.206734650499776,-0.13766758790789446,0,99.0,99.0,25.893,0.4148,25.1785,0.341,24.3174,0.2319,23.5824,0.4882,8.898574553534123
913,46.29569920199368,0.18047042193781432,1,21.515,0.0682,21.1961,0.0212,20.8165,0.0201,20.6779,0.0233,20.3306,0.0607,1.9608878029042245
913,46.29569920199368,0.18047042193781432,0,22.6561,0.1386,21.5207,0.0248,21.2516,0.0253,21.1204,0.0297,20.9279,0.0887,6.889216135641558
913,46.29569920199368,0.18047042193781432,0,24.9832,1.1522,23.2514,0.0915,22.4685,0.0697,21.8724,0.061,22.556,0.4372,6.751631808713474
928,46.59465070121089,-0.09307019861949833,1,22.5264,0.1248,22.5831,0.047,21.886,0.0381,21.8872,0.0514,21.8337,0.1773,1.0877510371045551
928,46.59465070121089,-0.09307019861949833,0,24.1025,0.6123,22.5008,0.056,21.5094,0.0369,21.0383,0.0354,20.7402,0.0994,6.916896511130493
941,46.72885669889632,-0.0034810318226408,1,99.0,99.0,23.151,0.07,22.2196,0.0477,21.223,0.0312,20.7475,0.0723,2.299336067630238
960,53.433143792959896,0.14409023143664362,1,23.1285,0.1887,22.5446,0.0454,22.5558,0.0603,21.8688,0.0498,22.2287,0.2448,4.983041341338446
961,53.46613424906133,0.10336035042006925,1,99.0,99.0,25.3133,0.3998,24.067,0.2118,22.9527,0.1184,22.9973,0.4799,3.1363962835829478
971,53.53588946808792,-0.04881727957361942,1,22.0457,0.091,21.7336,0.028,21.4038,0.0278,21.1176,0.0291,20.9734,0.0878,1.1599367488607435
971,53.53588946808792,-0.04881727957361942,0,25.5377,1.9084,25.2705,0.5207,23.4902,0.1655,22.7474,0.1256,22.1557,0.2935,4.8612706784558055
971,53.53588946808792,-0.04881727957361942,0,24.2845,0.4848,23.7256,0.1087,23.2158,0.1036,22.9506,0.1172,22.533,0.3146,8.813350583124148
971,53.53588946808792,-0.04881727957361942,0,24.0785,0.4133,24.0533,0.143,23.7428,0.1624,23.1366,0.1387,22.2688,0.2537,9.7385845160042
971,53.53588946808792,-0.04881727957361942,0,23.6462,0.4201,24.2714,0.2554,23.985,0.305,23.3029,0.244,22.8268,0.6407,9.615599668852328
988,53.77646582058212,0.033973062108433184,1,22.1848,0.1089,21.8439,0.0314,21.6829,0.0364,21.2574,0.0356,21.3953,0.145,1.6274407674741211
988,53.77646582058212,0.033973062108433184,0,24.681,0.4877,25.2126,0.2619,25.7166,0.6186,25.2773,0.6249,23.9284,0.7651,9.034956278421433
1009,54.46848725487811,0.36987598592662835,0,23.6929,0.3995,21.4381,0.0272,19.9831,0.0131,19.021,0.0094,18.5112,0.0198,6.790298005065676
1009,54.46848725487811,0.36987598592662835,1,21.6799,0.0792,21.6243,0.0291,21.2768,0.0284,21.0366,0.0332,21.388,0.1541,1.7514916670586984
1009,54.46848725487811,0.36987598592662835,0,25.9668,1.9831,25.3789,0.44,24.1299,0.2156,23.3842,0.1758,22.0641,0.2105,7.6856939331946705
1009,54.46848725487811,0.36987598592662835,0,23.8438,0.4118,23.8332,0.1533,23.2271,0.1316,22.4159,0.1012,21.6938,0.2021,7.872275851475126
1128,58.57339382736928,-0.05022012237830473,1,23.8163,0.3185,23.0816,0.064,22.0635,0.0421,21.7405,0.0442,21.2695,0.1093,0.7037960387175151
1148,310.01619813714746,-1.015769357363518,0,22.3099,0.1261,20.1141,0.0135,19.1629,0.0084,18.8035,0.0085,18.6226,0.019,8.714311988217192
1148,310.01619813714746,-1.015769357363518,1,22.6317,0.1801,22.3491,0.0679,22.326,0.0823,21.8222,0.086,22.3467,0.4185,2.4525514327156936
1148,310.01619813714746,-1.015769357363518,0,24.648,0.7235,22.7972,0.0733,21.3626,0.0298,20.2835,0.0196,19.686,0.0346,8.535574348505586
1158,310.1107863556833,-0.9192907130770828,1,99.0,99.0,25.3631,0.3394,24.4893,0.204,24.9847,0.505,24.1084,0.7196,4.13736629997745
1158,310.1107863556833,-0.9192907130770828,0,22.3309,0.1548,21.8792,0.0508,20.9012,0.0287,20.343,0.0277,19.9958,0.0609,8.659065180571645
1158,310.1107863556833,-0.9192907130770828,0,23.0333,0.2651,22.5471,0.0842,21.3051,0.0376,20.9212,0.0422,20.6671,0.1016,8.00660584009913
1158,310.1107863556833,-0.9192907130770828,0,24.4754,0.6953,23.8937,0.2018,22.9237,0.1103,22.1045,0.0873,21.7617,0.1967,7.8014970819216165
1178,322.2673266673067,0.023367842789823585,1,21.675,0.0771,21.4592,0.0251,20.86,0.0218,20.7938,0.0274,20.6888,0.0876,1.1218233914850746
1178,322.2673266673067,0.023367842789823585,0,27.1808,5.7304,24.2643,0.1528,23.9906,0.1918,23.5298,0.1942,22.7589,0.3884,8.240884081172227
1321,323.51887120135,-0.7842674826297253,0,21.4707,0.0642,20.5677,0.0168,20.2605,0.0154,20.1327,0.0193,20.1061,0.049,8.64687094265917
1321,323.51887120135,-0.7842674826297253,1,23.4993,0.2605,22.8724,0.077,22.4051,0.0668,22.2884,0.0978,22.1152,0.2327,0.8059077334685834
1321,323.51887120135,-0.7842674826297253,0,25.3567,2.2738,22.9033,0.126,22.5806,0.1272,22.1084,0.1419,22.2992,0.4765,9.773051358079979
1321,323.51887120135,-0.7842674826297253,0,25.4915,1.7729,23.4289,0.1428,23.4296,0.1899,22.9678,0.2146,22.6634,0.459,2.321334017591306
1321,323.51887120135,-0.7842674826297253,0,99.0,99.0,23.9007,0.1624,22.8805,0.0891,22.5949,0.1139,22.6785,0.3397,3.495042935120899
1321,323.51887120135,-0.7842674826297253,0,24.267,0.4173,25.0736,0.411,24.2431,0.2675,23.7321,0.2879,99.0,99.0,3.713935117573311
1330,323.60504395510776,-0.8178226569153196,1,24.1425,0.3149,23.8157,0.115,23.9053,0.1575,23.6022,0.1968,23.9294,0.7832,3.3322591688533754
1334,331.2938031974059,-0.4598837590809069,1,99.0,99.0,23.8463,0.1647,23.5237,0.1928,23.2615,0.2319,23.4051,0.9021,2.428327082023574
1383,331.6028584470946,-0.16569805473657723,0,27.6744,10.4266,24.1449,0.149,22.5455,0.0605,21.3842,0.0355,20.7437,0.0728,8.851588643645258
1383,331.6028584470946,-0.16569805473657723,1,24.6369,0.6053,24.0126,0.1232,23.2612,0.0978,22.9824,0.1138,22.5555,0.296,1.0011605192128452
1383,331.6028584470946,-0.16569805473657723,0,24.1474,0.5302,24.1471,0.1784,23.5622,0.1632,22.9878,0.1509,23.0898,0.6437,6.33174698907983
1783,349.4280982557105,0.21414965399813485,1,22.6063,0.1229,22.0198,0.0317,22.1842,0.0437,22.0857,0.0542,21.5737,0.1296,2.905361422482998
2251,356.0295274137941,0.4281319626816306,1,21.5197,0.0672,21.4588,0.0249,21.0788,0.0232,21.0962,0.0317,21.0998,0.099,2.3931262646298253
2251,356.0295274137941,0.4281319626816306,0,25.7538,1.3482,24.2619,0.1456,24.2798,0.2114,24.0823,0.2827,22.8757,0.3306,8.220081650021747
2251,356.0295274137941,0.4281319626816306,0,25.8494,1.8043,24.8535,0.2888,24.4218,0.2827,23.2347,0.1582,23.5222,0.7105,6.570681913761599
2331,359.4631586709491,-0.1079013828666541,0,23.4052,0.3391,23.3892,0.1171,22.756,0.1034,22.094,0.0805,21.8868,0.264,5.52664649564277
2341,359.5814111647267,-0.392971568682913,1,24.2237,0.5054,23.7722,0.1311,22.6706,0.082,21.6873,0.0504,21.0478,0.0998,6.7392404961357935
42309,18.970827102661133,0.47295844554901123,1,25.388,1.3536,23.7369,0.1282,22.1616,0.0502,21.4036,0.0407,21.1173,0.0996,1.0604445460027982
42309,18.970827102661133,0.47295844554901123,0,24.5328,0.6169,24.472,0.2299,23.9545,0.217,23.8274,0.3059,23.8338,1.0098,9.848825503553238
42309,18.970827102661133,0.47295844554901123,0,25.4907,1.6027,25.9101,0.9194,23.653,0.1837,22.5239,0.1069,22.0775,0.2351,9.303862460229256
42309,18.970827102661133,0.47295844554901123,0,23.5427,0.2817,23.127,0.08,22.6151,0.073,22.0379,0.0681,21.9862,0.2061,8.942690169386099
50056,18.056428909301758,-1.2178821563720703,0,24.8051,0.8612,23.519,0.1363,22.1451,0.055,21.1576,0.037,20.5941,0.0692,8.772897818706742
50056,18.056428909301758,-1.2178821563720703,1,24.8819,0.9255,24.2812,0.264,23.1901,0.1279,22.0087,0.0724,21.2749,0.1187,0.4229608406503648
55098,51.078102111816406,-0.6203187108039856,1,22.0682,0.0941,21.4507,0.0249,20.9107,0.0214,20.4965,0.0193,20.0038,0.0412,2.475156285378055
55099,50.94728469848633,-0.5309208631515503,1,21.2238,0.0535,20.8768,0.0176,20.8237,0.0194,20.6311,0.0197,20.7573,0.0656,0.17382253300244657
55099,50.94728469848633,-0.5309208631515503,0,25.7535,1.1466,25.2243,0.28,24.9743,0.3384,24.67,0.3835,23.4091,0.4372,7.771263276153808
55099,50.94728469848633,-0.5309208631515503,0,25.7828,1.5148,24.06,0.1352,23.5171,0.1239,23.2838,0.1474,22.5387,0.2653,9.474790248230603
55100,51.00864028930664,-0.5098180174827576,1,20.0132,0.029,19.9429,0.0111,19.505,0.0097,19.4623,0.0101,19.4461,0.0286,0.1678578879584922
55100,51.00864028930664,-0.5098180174827576,0,23.2063,0.269,22.7656,0.0721,22.0117,0.0554,21.6544,0.058,21.3739,0.1543,6.589243561092782
55430,331.22711181640625,0.40479177236557007,0,23.7098,0.4199,23.7331,0.1421,23.6831,0.1975,23.4051,0.2481,23.5705,1.0829,9.640493745284358
55430,331.22711181640625,0.40479177236557007,1,23.7485,0.336,23.8877,0.1268,24.0243,0.203,23.634,0.2296,23.3935,0.6893,0.585126937868207
55430,331.22711181640625,0.40479177236557007,0,25.0096,0.9492,24.8743,0.2806,24.3346,0.2568,24.1085,0.3361,23.8768,1.0246,9.230692775112276
68123,58.513912200927734,0.7471639513969421,1,23.188,0.1981,22.6827,0.0517,22.3738,0.055,21.9219,0.0559,21.3403,0.107,3.388826871122922
69855,49.75556945800781,-1.0256948471069336,1,23.2846,0.2073,22.5597,0.0571,22.1181,0.048,21.6647,0.0495,21.1293,0.0914,0.9194426633419194
69855,49.75556945800781,-1.0256948471069336,0,26.3606,2.3781,24.6485,0.2586,23.7501,0.1489,23.2434,0.1498,22.8268,0.3131,8.163351222436626
69855,49.75556945800781,-1.0256948471069336,0,24.3359,0.6089,23.326,0.1255,22.6033,0.0841,22.37,0.108,22.0949,0.2533,7.609331383612364
71547,45.22747802734375,-0.5143958330154419,1,21.2762,0.0577,20.2781,0.0131,19.9392,0.0122,19.7506,0.0121,19.376,0.0273,0.19386348868399453
71547,45.22747802734375,-0.5143958330154419,0,25.4831,1.814,24.2127,0.2163,23.8925,0.2533,23.2673,0.2234,22.4759,0.3705,4.8609945236968395
71549,45.32658386230469,-0.49631640315055847,1,21.2683,0.0607,20.6813,0.0168,20.4204,0.0169,19.9801,0.015,19.6387,0.0357,0.333769749904442
71549,45.32658386230469,-0.49631640315055847,0,24.309,0.4228,24.9623,0.2733,23.8933,0.1674,24.0798,0.2916,23.3765,0.5397,8.333675705664469
71549,45.32658386230469,-0.49631640315055847,0,26.1783,2.1606,25.1806,0.3321,23.6101,0.1338,22.2105,0.0596,21.5408,0.113,7.274927431288508
71549,45.32658386230469,-0.49631640315055847,0,23.7149,0.2967,22.5236,0.0469,21.825,0.0377,21.4783,0.0375,21.032,0.0845,2.680885252659952
71550,45.26184844970703,-0.48715776205062866,0,24.9457,1.9105,24.5472,0.4954,22.8811,0.1724,21.6014,0.0851,99.0,99.0,9.800152768868397
71551,45.296512603759766,-0.4668152332305908,1,21.4237,0.0635,20.4667,0.0145,20.3572,0.0156,20.3292,0.0177,19.9836,0.0418,0.1973693846746886
71551,45.296512603759766,-0.4668152332305908,0,24.4168,0.5711,24.0924,0.1638,23.4851,0.146,23.1181,0.1542,22.476,0.3003,9.813327357182608
71553,45.18503189086914,-0.6388526558876038,1,20.8765,0.0474,20.3298,0.0138,20.1044,0.014,19.7193,0.0127,19.5216,0.0329,0.7062338537004423
71553,45.18503189086914,-0.6388526558876038,0,25.9215,1.1844,25.5379,0.3227,24.8641,0.2729,24.2316,0.2325,23.7896,0.5436,9.984724979784097
71553,45.18503189086914,-0.6388526558876038,0,24.0452,0.3484,23.4856,0.0872,22.5152,0.0579,22.1441,0.0594,22.0292,0.175,5.77904770039091
71587,45.39374542236328,-0.739984929561615,1,23.6408,0.4096,22.5826,0.0661,21.1609,0.0305,20.4573,0.0233,20.0305,0.0544,1.726469275732558
71596,45.1093864440918,-0.6367352604866028,1,20.3783,0.034,20.0876,0.0117,19.8575,0.0114,19.7159,0.0114,19.6552,0.0307,3.063591389615159
71596,45.1093864440918,-0.6367352604866028,0,99.0,99.0,24.556,0.1972,24.1015,0.2025,24.1563,0.3413,24.1937,1.1742,5.179826625235623
71602,45.1915397644043,-0.6929993629455566,1,22.5824,0.1262,22.0705,0.0352,21.4176,0.0285,21.1417,0.0291,20.9456,0.0794,2.4591609136929375
71602,45.1915397644043,-0.6929993629455566,0,99.0,99.0,25.1222,0.3501,24.4896,0.303,24.0634,0.3128,99.0,99.0,9.240669652328641
71612,45.221412658691406,-0.3697855770587921,1,22.6226,0.2449,21.6547,0.0423,20.1317,0.0186,19.4993,0.0152,19.0401,0.0337,0.7766597051187293
90191,9.921154975891113,0.9076232314109802,1,20.501,0.0382,20.5245,0.0156,20.7048,0.0215,20.9603,0.0353,20.9575,0.109,0.18861934644156642
90191,9.921154975891113,0.9076232314109802,0,23.3114,0.3047,23.2365,0.1025,22.6842,0.1,22.1365,0.0917,21.5452,0.1793,6.157216324843884
90191,9.921154975891113,0.9076232314109802,0,23.5551,0.4003,23.6344,0.1517,23.5765,0.2331,22.9458,0.1984,22.0181,0.291,6.365452851789647
115880,322.2676696777344,0.023497199639678,1,21.675,0.0771,21.4592,0.0251,20.86,0.0218,20.7938,0.0274,20.6888,0.0876,0.8861314745523611
115880,322.2676696777344,0.023497199639678,0,27.1808,5.7304,24.2643,0.1528,23.9906,0.1918,23.5298,0.1942,22.7589,0.3884,7.170415339146187
116866,51.697288513183594,-0.6659852266311646,1,24.0416,0.3734,23.4988,0.0906,22.9042,0.0795,22.1766,0.0614,22.0669,0.1893,0.5321508096939437
116866,51.697288513183594,-0.6659852266311646,0,99.0,99.0,25.214,0.3033,24.7666,0.3058,24.254,0.296,24.3511,1.1548,6.417254119707116
116866,51.697288513183594,-0.6659852266311646,0,25.0546,1.1492,25.1457,0.4499,24.1385,0.2815,23.1216,0.1745,23.7529,1.1058,4.9694578805237555
129863,37.543880462646484,0.765643835067749,1,21.8627,0.0742,21.5059,0.0246,21.4415,0.0275,21.0629,0.0288,21.351,0.0999,0.8493003318286969
129863,37.543880462646484,0.765643835067749,0,24.2528,0.4298,24.7267,0.2369,23.695,0.1431,23.3782,0.1683,22.7668,0.3168,9.906243847307646
129863,37.543880462646484,0.765643835067749,0,25.9972,1.7313,25.0711,0.2801,25.0506,0.408,23.9593,0.2454,23.7927,0.6865,9.016602667696995
129927,37.741519927978516,0.39379313588142395,1,21.7935,0.0793,22.2024,0.0468,21.7201,0.0367,21.7086,0.0463,21.6182,0.1527,0.3901554318264865
129927,37.741519927978516,0.39379313588142395,0,23.6223,0.2854,23.9546,0.186,23.0653,0.1005,23.1426,0.1418,22.6218,0.347,2.4423906000363864
